CatalogProfile,FeatureType,InspPointType,MeasCrRate,NWT,MAWT,FirstWT,LastWt,Allowable-Stress-Value,Corrosion-Allowance,Design-Code,Design-Pressure,Design-Temperature,Material-Specification,Material-Type,NominalOutsideDiameter,Operating-Pressure,Operating-Temperature,Quality-Factor,Matcat
PI,ELBW,UTWT,0,3.38,1.29,3.39,3.39,115142.44,0,ASME B31.3,9170,60,A403 Gr WP 316L,AS,25,5900,49,1,SS
PI,ELBW,UTWT,0,3.38,1.29,3.39,3.39,115142.44,0,ASME B31.3,9170,60,A403 Gr WP 316L,AS,25,5900,49,1,SS
PI,TEE2,UTWT,0.004,14.27,10.33,20.61,20.58,199258.48,0,ASME B31.3,9170,149,A815 CL WP-S S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.019,14.27,10.33,14.34,14.2,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.046,14.27,10.33,14.43,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,1.153,14.27,10.33,14.41,13.8,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.059,14.27,10.33,14.42,14,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,1.537,14.27,10.33,14.37,13.7,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.065,14.27,10.33,14.56,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.052,14.27,10.33,14.47,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.049,14.27,10.33,14.45,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,1.537,14.27,10.33,14.56,13.7,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.055,14.27,10.33,14.49,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.384,14.27,10.33,14.39,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
PI,STRT,UTWT,0.034,14.27,10.33,14.34,14.1,199258.48,0,ASME B31.3,9170,149,A790 Gr S31803,AFS,450,394.38,121.1,1,DSS
